Jahrgangsstufe,Schulart,Geschlecht,bundesland,anzahl
Klassenstufe 3,Grundschulen,männlich,Brandenburg,10033
Klassenstufe 3,Grundschulen,männlich,Bremen,2802
Klassenstufe 3,Grundschulen,männlich,Hamburg,7136
Klassenstufe 3,Grundschulen,männlich,Hessen,26200
Klassenstufe 3,Grundschulen,männlich,Mecklenburg-Vorpommern,6157
Klassenstufe 3,Grundschulen,männlich,Niedersachsen,35612
Klassenstufe 3,Grundschulen,männlich,Nordrhein-Westfalen,77520
Klassenstufe 3,Grundschulen,männlich,Rheinland-Pfalz,17458
Klassenstufe 3,Grundschulen,männlich,Saarland,3903
Klassenstufe 3,Grundschulen,männlich,Sachsen,16512
Klassenstufe 3,Grundschulen,männlich,Sachsen-Anhalt,8277
Klassenstufe 3,Grundschulen,männlich,Schleswig-Holstein,12592
Klassenstufe 3,Grundschulen,männlich,Thüringen,8089
Klassenstufe 3,Grundschulen,weiblich,Baden-Württemberg,40426
Klassenstufe 3,Grundschulen,weiblich,Bayern,51966
Klassenstufe 3,Grundschulen,weiblich,Berlin,15888
Klassenstufe 3,Grundschulen,weiblich,Brandenburg,9834
Klassenstufe 3,Grundschulen,weiblich,Bremen,2636
Klassenstufe 3,Grundschulen,weiblich,Hamburg,6654
Klassenstufe 3,Grundschulen,weiblich,Hessen,25201
Klassenstufe 3,Grundschulen,weiblich,Mecklenburg-Vorpommern,6167
Klassenstufe 3,Grundschulen,weiblich,Niedersachsen,33693
Klassenstufe 3,Grundschulen,weiblich,Nordrhein-Westfalen,75113
Klassenstufe 3,Grundschulen,weiblich,Rheinland-Pfalz,16298
Klassenstufe 3,Grundschulen,weiblich,Saarland,3641
Klassenstufe 3,Grundschulen,weiblich,Sachsen,16151
Klassenstufe 3,Grundschulen,weiblich,Sachsen-Anhalt,7882
Klassenstufe 3,Grundschulen,weiblich,Schleswig-Holstein,11606
Klassenstufe 3,Grundschulen,weiblich,Thüringen,7743
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Baden-Württemberg,5642
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Bayern,0
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Berlin,1400
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Brandenburg,34
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Bremen,0
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Hamburg,586
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Hessen,470
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Mecklenburg-Vorpommern,0
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Niedersachsen,132
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Nordrhein-Westfalen,24
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Rheinland-Pfalz,0
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Saarland,0
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Sachsen,0
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Sachsen-Anhalt,0
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Schleswig-Holstein,0
Klassenstufe 3,Integrierte Gesamtschulen,männlich,Thüringen,428
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Baden-Württemberg,5483
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Bayern,0
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Berlin,1308
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Brandenburg,26
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Bremen,0
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Hamburg,557
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Hessen,436
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Mecklenburg-Vorpommern,0
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Niedersachsen,144
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Nordrhein-Westfalen,33
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Rheinland-Pfalz,0
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Saarland,0
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Sachsen,0
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Sachsen-Anhalt,0
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Schleswig-Holstein,0
Klassenstufe 3,Integrierte Gesamtschulen,weiblich,Thüringen,398
Klassenstufe 3,Freie Waldorfschulen,männlich,Baden-Württemberg,888
Klassenstufe 3,Freie Waldorfschulen,männlich,Bayern,336
Klassenstufe 3,Freie Waldorfschulen,männlich,Berlin,148
Klassenstufe 3,Freie Waldorfschulen,männlich,Brandenburg,60
Klassenstufe 3,Freie Waldorfschulen,männlich,Bremen,37
Klassenstufe 3,Freie Waldorfschulen,männlich,Hamburg,123
