"name","id","official_id","address","school_type","school_type_entity","fax","state","phone","full_time_school","lon","lat"
"Emely-Salzig-Schule","HE-3186-0","3186","Winkeler Straße 87, 65366 Geisenheim","Grundschule","Grundschule","06722/9971014","HE","06722/997100",false,7.970977,49.9854
"John-Sutton-Schule","HE-3187-0","3187","Neue Heimat 15, 65399 Kiedrich","Grundschule","Grundschule","06123/902791","HE","06123/3922",false,8.079628,50.038128
"Wisperschule","HE-3188-0","3188","Schauerweg 2 a, 65391 Lorch","Grundschule","Grundschule","06726/8120909","HE","06726/2011",false,7.804789,50.048572
"Walluftalschule","HE-3189-0","3189","Hohlweg 45, 65396 Walluf","Grundschule","Grundschule","06123/74804","HE","06123/72965",false,8.154799,50.041456
"Reformschule Rheingau","HE-3190-0","3190","Schulstraße 17, 65375 Oestrich-Winkel","Hauptschule","Hauptschule","06723/9137999","HE","06723/913790",false,8.019775,50.007974
"Otfried Preußler-Schule","HE-3191-0","3191","Hauptstraße 27, 65345 Eltville am Rhein","Grundschule","Grundschule","06123/71580","HE","06123/71580",false,8.11005,50.059529
"Hildegardisschule","HE-3192-0","3192","Breslauer Straße 53, 65385 Rüdesheim am Rhein","Realschule","Realschule","06722/48001","HE","06722/3620",false,7.935218,49.985411
"Pfingstbachschule","HE-3193-0","3193","Vom-Stein-Straße 2, 65375 Oestrich-Winkel","Grundschule","Grundschule","06723/87231","HE","06723/2388",false,8.001236,49.999212
"Grundschule Hallgarten","HE-3195-0","3195","Rosentalstraße 35, 65375 Oestrich-Winkel","Grundschule","Grundschule","06723/602826","HE","06723/3252",false,8.027661,50.032771
"Waldbachschule","HE-3196-0","3196","Hallgartener Straße 2, 65347 Eltville am Rhein","Grundschule","Grundschule","06723/1244","HE","06723/2741",false,8.054758,50.01605
"Johannes-de-Laspée-Schule","HE-3197-0","3197","Niklas-Vogt-Straße 3, 65366 Geisenheim","Grundschule","Grundschule","06722/972420","HE","06722/8355",false,7.96556,49.98313
"Andersenschule","HE-3201-0","3201","Brandenburgerstraße 74, 64297 Darmstadt","Grundschule","Grundschule","06151/537570","HE","06151/51415",false,8.63678,49.822396
"Christian-Morgenstern-Schule","HE-3202-0","3202","Vogelsbergstraße 50, 64289 Darmstadt","Grundschule","Grundschule","06151/133401","HE","06151/132540",false,8.663254,49.883323
"Bessunger Schule","HE-3204-0","3204","Ludwigshöhstraße 10, 64285 Darmstadt","Grundschule","Grundschule","06151/133869","HE","06151/132541",false,8.651428,49.857324
"Astrid-Lindgren-Schule","HE-3205-0","3205","Stadtweg 1, 64291 Darmstadt","Grundschule","Grundschule","06151/132816","HE","06151/133426",false,8.660403,49.910131
"Elly-Heuss-Knapp-Schule","HE-3209-0","3209","Kohlbergweg 1, 64287 Darmstadt","Grundschule","Grundschule","06151/41523","HE","06151/43017",false,8.67136,49.86544
"Erich Kästner-Schule","HE-3210-0","3210","Bartningstraße 33, 64289 Darmstadt","schulformübergreifende (integrierte) Gesamtschule","Integrierte Gesamtschule","06151/7909821","HE","06151/790980",false,8.683529,49.900641
"Frankensteinschule","HE-3211-0","3211","Heinrich-Delp-Straße 187, 64297 Darmstadt","Grundschule","Grundschule","06151/133403","HE","06151/132896",false,8.650424,49.831014
