"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Gymnasium ""Am Thie""","Friedensstraße 26","38889","Blankenburg","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","1"
"Käthe-Kollwitz-Gymnasium","Villenstraße 1","67433","Neustadt Weinstraße","Rheinland-Pfalz","","","Schule ohne Rassismus - Schule mit Courage","0"
"Ursulinen-Gymnasium","A4, 4","68159","Mannheim","Baden-Württemberg","","","Schule ohne Rassismus - Schule mit Courage","0"
"Georg-Büchner-Gesamtschule Erlensee","Langendiebacherstraße 35","63526","Erlensee","Hessen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Geschwister-Scholl-Gesamtschule","Kurt-Huber-Weg 1-5","37079","Göttingen","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","2"
"Geschwister-Scholl-Gymnasium","Hackenbroicher Straße 66a","50259","Pulheim","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Gymnasium Letmathe","Aucheler Straße 8-10","58642","Iserlohn","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Gymnasium Leopoldinum Detmold","Hornsche Straße 48","32760","Detmold","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Schule im Innerstetal","Lichtenberger Straße 4","38271","Baddeckenstedt","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Staatliche Berufsschule Neumarkt i.d.OPf.","Deininger Weg  82","92318","Neumarkt i.d. Oberpfalz","Bayern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Dr. von Morgenstern Schulen","Freisestraße 14","38118","Braunschweig","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Helmholtz-Gymnasium Heidelberg","Rohrbacher Straße 102","69126","Heidelberg","Baden-Württemberg","","","Schule ohne Rassismus - Schule mit Courage","0"
"Mittelschule ""Clara Zetkin""","Dörnerzaunstraße 2","09599","Freiberg","Sachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Schule Am Dobrock","Oberreihe 11","21781","Cadenberge","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Dr.-Carl-Hermann-Gymnasium Schönebeck","Berliner Straße 8 b","39218","Schönebeck","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","1"
"Sekundarschule Johann Christian Reil","Ernst-Schneller-Straße 1","06114","Halle / Saale","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","0"
"Mittelschule Halsbrücke","Geschwister-Scholl-Straße 8","09633","Halsbrücke","Sachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Sekundarschule Beetzendorf","Friedrich-Engels-Straße 14","38489","Beetzendorf","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","2"
"Loschmidt-Oberschule","Loschmidtstraße 19","10587","Berlin","Berlin","","","Schule ohne Rassismus - Schule mit Courage","0"
"Mädchenrealschule Heilig Blut","Heilig Blut 1","85435","Erding","Bayern","","","Schule ohne Rassismus - Schule mit Courage","1"
"Hauptschule München","Gerhart-Hauptmann-Ring 15","81737","München","Bayern","","","Schule ohne Rassismus - Schule mit Courage","2"
"von-Saldern-Gymnasium Brandenburg","Franz-Ziegler-Straße 29 a","14776","Brandenburg an der Havel","Brandenburg","","","Schule ohne Rassismus - Schule mit Courage","0"
"Kurfürst-Balduin-Realschule","Kurfürstenstraße 12","54516","Wittlich","Rheinland-Pfalz","","","Schule ohne Rassismus - Schule mit Courage","0"
"Städtische Realschule Werl","Zum Salzbach 7","59457","Werl","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Eckener-Oberschule","Kaiserstraße 17-21","12105","Berlin\n","Berlin","","","Schule ohne Rassismus - Schule mit Courage","0"
"Losbergschule Stadtlohn","Uferstraße 21 - 25","48703","Stadtlohn","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Norbertschule (seit dem 31.07.2014 geschlossen)","Paul-Schneider-Weg 3","46399","Bocholt","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Johann-Rist-Gymnasium","Am Redder 8","22880","Wedel","Schleswig-Holstein","","","Schule ohne Rassismus - Schule mit Courage","1"
