"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","id"
"Abendschule vor dem Holstentor","","","","","","","21445"
"Erich-Kästner-Gesamtschule","","","","","","","21445"
"Förderschule An der Twiete","","","","","","","21445"
"Gesamtschule Bergstedt","","","","","","","21445"
"Gesamtschule Finkenwerder","","","","","","","21445"
"Gesamtschule Mümmelmannsberg","","","","","","","21445"
"Gesamtschule Stellingen","","","","","","","21445"
"GHR Langenhorn","","","","","","","21445"
"GHR Osterbrook","","","","","","","21445"
"GHS Stübenhofer Weg","","","","","","","21445"
"GS Allermühe","","","","","","","21445"
"GS Am Heidberg","","","","","","","21445"
"GS Kirchdorf","","","","","","","21445"
"Gymnasium Klosterschule","","","","","","","21445"
"Gymnasium Ohmoor","","","","","","","21445"
"Heinrich-Hertz-Schule","","","","","","","21445"
"HR Holstenhof","","","","","","","21445"
"Kath. Schule Neugraben","","","","","","","21445"
"Otto-Hahn-Gesamtschule","","","","","","","21445"
"Schule am Walde","","","","","","","21445"
"Schule Bramfelder Dorfplatz","","","","","","","21445"
"Schule Ehestorfer Weg","","","","","","","21445"
"Schule Hirtenweg","","","","","","","21445"
"Schule Langbargheide","","","","","","","21445"
"Staatl. Berufsschule Eidelstedt","","","","","","","21445"
"Stadtteilschule Barmbek","","","","","","","21445"
"Stadtteilschule Kirchberg","","","","","","","21445"
"Stadtteilschule Rissen","","","","","","","21445"
"Anne-Frank-Schule","","","Linden","","","","130"
"Brüder-Grimm-Schule","","","Gießen","","","","0"
"Erich-Kästner-Schule","","","Idstein","","","","0"
"Ernst-Reuter-Schule","","","Dietzenbach","","","","0"
"Freiherr-vom-Stein-Schule","","","Hünfelden","","","","0"
"Freiherr-vom-Stein-Schule","","","Immenhausen","","","","0"
"Gesamtschule Schwingbach","","","Hüttenberg","","","","0"
"Geschwister-Scholl-Schule","","","Niddatal","","","","0"
"Hans-Viessmann-Schule","","","Bad Wildungen","","","","0"
"Haupt- und Realschule","","","Nidda","","","","0"
"Heinrich-von-Kleist-Schule","","","Eschborn","","","","0"
"Heinrich-von-Kleist-Schule","","","Wiesbaden","","","","3"
"Helene-Lange-Schule","","","Wiesbaden","","","","3"
"Hildegardisschule","","","Rüdesheim","","","","1"
"Hostato-Schule","","","Frankfurt a.M.","","","","0"
"International Schloss Hansenberg","","","Geisenheim-Johannisberg","","","","0"
"IGS Wallrabenstein","","","Hünstetten","","","","0"
"Kellerskopfschule","","","Wiesbaden","","","","3"
"Konrad-Hänisch-Schule","","","Frankfurt a.M.","","","","0"
"Ludwig-Erhard-Schule","","","Wiesbaden","","","","3"
"MPS Oberer Hüttenberg","","","Butzbach","","","","0"
"Schule am Sportpark","","","Erbach","","","","0"
"Singbergschule","","","Wölfersheim","","","","0"
"Sophie-und-Hans-Scholl-Schule","","","Wiesbaden","","","","3"
"Stadtschule Butzbach","","","","","","","21445"
"Theißtalschule","","","Niedernhausen","","","","0"
"Theodor-Fliedner-Schule","","","Wiesbaden","","","","3"
"Valentin-Traudt-Schule","","","Großalmerode","","","","0"
"Wilhelm-Heinrich-von-Riehl-Schule","","","Wiesbaden","","","","3"
"Baltic-Schule","","","Rostock","","","","45"
"Berufliche Schule","","","Stralsund","","","","19"
"ecolea","","","Rostock","","","","45"
"ecolea","","","Schwerin","","","","20"
"Freie Schule","","","Prerow","","","","0"
"Gymnasium Reutershagen","","","","","","","21445"
"Hundertwasser-GS Rostock","","","","","","","21445"
"Musisches Haus vom Sportgymnasium Neubrandenburg","","","","","","","21445"
"Ostsee-Schule","","","Wismar","","","","11"
"Regionale Schule","","","Domsühl","","","","2"
"Warnowschule","","","Papendorf","","","","1"
"Niedersachsen","","","","","","","21445"
"Agnes-Miegel-Realschule","","","Osnabrück","","","","76"
"Akademie für Wirtschaft und Logistik GmbH","","","Stade","","","","31"
"Albert-Liebmann-Schule","","","Förderschule","Hannover","","","0"
"Alexanderschule Wallenhorst","","","","","","","21445"
"BBS Cuxhaven","","","","","","","21445"
"BBS Elisabeth-Selber-Schule","","","Hameln","","","","30"
"BBS II Delmenhorst","","","","","","","21445"
"BBS Melle","","","","","","","21445"
"BBS Winsen (Luhe)","","","Winsen","","","","17"
"Berthold-Otto-Schule","","","Förderschule","Lehrte","","","0"
"Breeke-Schule","","","Scheeßel","","","","6"
"Cosmetic College","","","Hannover","","","","173"
"Domschule Osnabrück","","","","","","","21445"
