"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Gymnasium Gröbenzell","","82194","Gröbenzell","","Programm","","Fairtrade Schools","5"
"Gymnasium Harksheide","","22844","Norderstedt","","Programm","","Fairtrade Schools","7"
"Gymnasium Harksheide","","22844","Norderstedt","","Programm","","Fairtrade Schools","7"
"Gymnasium im Schloss Wolfenbüttel","","38304","Wolfenbüttel","","Programm","","Fairtrade Schools","9"
"Gymnasium Immenstadt","","87509","Immenstadt","","Programm","","Fairtrade Schools","7"
"Gymnasium in den Filder Benden","","47441","Moers","","Programm","","Fairtrade Schools","12"
"Gymnasium Johanneum","","66424","Homburg","","Programm","","Fairtrade Schools","0"
"Gymnasium Jüchen","","41363","Jüchen","","Programm","","Fairtrade Schools","6"
"Gymnasium Laurentianum","","48231","Warendorf","","Programm","","Fairtrade Schools","18"
"Gymnasium Lechenich","","50374","Erftstadt","","Programm","","Fairtrade Schools","13"
"Gymnasium Marktoberdorf","","87616","Marktoberdorf","","Programm","","Fairtrade Schools","8"
"Gymnasium Meßstetten","","72469","Meßstetten","","Programm","","Fairtrade Schools","0"
"Gymnasium Neubiberg","","85579","Neubiberg","","Programm","","Fairtrade Schools","3"
"Gymnasium Norf","","41469","Neuss","","Programm","","Fairtrade Schools","8"
"Gymnasium Parsberg","","92331","Parsberg","","Programm","","Fairtrade Schools","6"
"Gymnasium Petrinum","","45657","Recklinghausen","","Programm","","Fairtrade Schools","9"
"Gymnasium Rheinkamp","","47445","Moers","","Programm","","Fairtrade Schools","7"
"Gymnasium Sarstedt","","31157","Sarstedt","","Programm","","Fairtrade Schools","5"
"Gymnasium Stein","","90547","Stein","","Programm","","Fairtrade Schools","3"
"Gymnasium Trossingen","","78647","Trossingen","","Programm","","Fairtrade Schools","0"
"Gymnasium Überlingen","","88662","Überlingen","","Programm","","Fairtrade Schools","0"
"Gymnasium Uetze","","31311","Uetze","","Programm","","Fairtrade Schools","7"
"Gymnasium und Wirtschaftsschule der Schulstiftung Seligenthal","","84036","Landshut","","Programm","","Fairtrade Schools","7"
"Gymnasium Vilshofen","","94474","Vilshofen an der Donau","","Programm","","Fairtrade Schools","0"
"Gymnasium Waldstraße Hattingen","","45525","Hattingen","","Programm","","Fairtrade Schools","7"
"Gymnasium Walldorf","","69190","Walldorf","","Programm","","Fairtrade Schools","0"
"Gymnasium Weierhof","","67295","Bolanden","","Programm","","Fairtrade Schools","0"
"Gymnasium Zwiesel","","94227","Zwiesel","","Programm","","Fairtrade Schools","4"
"Haierschule Faurndau","","73035","Göppingen","","Programm","","Fairtrade Schools","0"
"Hallertau-Gymnasium Wolnzach","","85283","Wolnzach","","Programm","","Fairtrade Schools","3"
"Hannah-Arendt-Gymnasium","","67454","Haßloch","","Programm","","Fairtrade Schools","0"
"Hannah-Arendt-Gymnasium Lengerich","","49525","Lengerich","","Programm","","Fairtrade Schools","9"
"Hanns-Seidel-Gymnasium Hösbach","","63768","Hösbach","","Programm","","Fairtrade Schools","8"
"Hans-Memling-Grundschule","","63853","Mömlingen","","Programm","","Fairtrade Schools","1"
"Hans-Purrmann-Gymnasium","","67346","Speyer","","Programm","","Fairtrade Schools","0"
